SubjectName 014,SessionNumber 1,ExperimentName sternbergComp,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Trial,NSPrac-OnsetError,NSPrac-OnsetTime,ProbePrac-OnsetError,ProbePrac-OnsetTime,ProbePrac-Mouse-IsCorrect,ProbePrac-Mouse-Responses,ProbePrac-Mouse-ResponseTime,TrialTable-Condition,TrialTable-CorrectResponse,TrialTable-NumberSets,TrialTable-Probes
85,0.01,922069.48,0.16,927102.82,1,Yes,1265.84,6,Yes,7 1 8 9 2 3 ,2
86,0.01,928869.49,0.17,933902.83,1,No,3498.37,8,No,5 2 6 9 1 7 8 3 ,4
87,0.01,937902.84,0.15,942936.18,1,Yes,1352.57,4,Yes,5 8 6 7 ,6
88,0.01,944802.85,0.24,949836.19,1,No,1398.93,4,No,5 2 7 1 ,8
89,0.02,951736.2,0.15,956769.54,1,Yes,1143.29,8,Yes,7 3 2 5 9 4 6 1 ,9
90,0.01,958419.54,0.17,963452.89,1,Yes,1115.99,6,Yes,7 4 5 3 6 8 ,6
91,0.01,965069.56,0.15,970102.9,1,Yes,1026.04,2,Yes,9 1 ,9
92,0.01,971636.24,0.16,976669.58,1,Yes,1115.39,4,Yes,1 3 4 9 ,3
93,0.02,978286.25,0.16,983319.59,1,Yes,969.42,6,Yes,8 1 9 6 4 3 ,4
94,0.01,984802.93,0.17,989836.27,1,Yes,700.78,8,Yes,8 9 4 1 7 6 3 2 ,7
95,0.02,991052.94,0.15,996086.29,1,No,1650.79,8,No,5 3 7 2 4 1 8 6 ,9
96,0.01,998252.95,0.16,1003286.3,1,Yes,1178.82,2,Yes,4 2 ,2
97,0.03,1004969.64,0.23,1010002.98,1,Yes,1166.19,4,Yes,4 3 9 2 ,4
98,0.01,1011669.65,0.16,1016702.99,1,Yes,1442.26,2,Yes,5 4 ,5
99,0.03,1018653,0.22,1023686.34,1,No,1371.02,8,No,9 3 2 5 7 4 6 8 ,1
100,0.01,1025569.67,0.16,1030603.02,0,Yes,1478.3,8,No,7 5 1 4 2 9 8 3 ,6
101,0.01,1032586.35,0.16,1037619.7,1,No,1565.64,4,No,1 7 2 5 ,3
102,0.03,1039686.37,0.16,1044719.71,1,Yes,1289.68,2,Yes,7 8 ,8
103,0.01,1046519.72,0.16,1051553.06,1,No,1008.3,2,No,3 1 ,9
104,0.01,1053069.73,0.16,1058103.07,1,No,1282.39,2,No,1 7 ,6
105,0.01,1059886.41,0.15,1064919.75,1,Yes,1361.75,8,Yes,3 7 6 2 5 8 4 1 ,6
106,0.01,1066786.42,0.17,1071819.76,1,No,1399.28,4,No,6 1 5 7 ,9
107,0.02,1073719.77,0.23,1078753.11,1,Yes,2288.51,4,Yes,7 5 3 1 ,1
108,0.01,1081553.12,0.25,1086586.46,1,No,1799.16,6,No,1 6 7 2 9 4 ,8
109,0.01,1088886.46,0.16,1093919.8,1,Yes,2081.89,8,Yes,6 3 9 1 2 4 7 8 ,1
110,0.01,1096503.14,0.16,1101536.48,1,Yes,1169.24,4,Yes,6 3 9 4 ,4
111,0.02,1103219.82,0.16,1108253.17,1,No,1892.58,4,No,4 6 8 1 ,3
112,0.02,1110653.17,0.17,1115686.51,1,Yes,1507.32,6,Yes,1 5 4 2 8 6 ,4
113,0.01,1117703.18,0.16,1122736.53,1,No,1657.3,4,No,2 4 9 5 ,8
114,0.01,1124903.2,0.16,1129936.54,1,No,1721.39,6,No,4 2 8 3 1 9 ,6
115,0.01,1132169.88,0.18,1137203.23,1,No,4030.71,6,No,3 7 6 8 9 4 ,2
116,0.02,1141736.56,0.25,1146769.91,1,Yes,1264.08,4,Yes,8 2 1 9 ,2
117,0.01,1148536.58,0.16,1153569.92,1,No,2440.11,6,No,8 3 2 1 9 5 ,4
118,0.02,1156519.92,0.17,1161553.27,1,No,960.82,8,No,6 3 8 4 5 7 2 9 ,1
119,0.02,1163019.94,0.16,1168053.28,1,Yes,1244.85,4,Yes,9 2 8 5 ,5
120,0.01,1169803.28,0.17,1174836.63,1,Yes,877.54,2,Yes,9 1 ,1
121,0.01,1176219.96,0.15,1181253.31,1,No,1071.37,8,No,8 1 3 9 6 2 5 4 ,7
122,0.01,1182836.64,0.16,1187869.98,1,No,2684.3,4,No,8 2 3 4 ,7
123,0.02,1191069.99,0.16,1196103.33,1,No,1458.96,4,No,5 8 3 1 ,2
124,0.01,1198070,0.16,1203103.35,1,Yes,2050.98,6,Yes,7 1 4 3 9 2 ,3
125,0.01,1205670.02,0.16,1210703.36,1,Yes,1451.02,2,Yes,7 8 ,8
126,0.01,1212670.04,0.16,1217703.38,1,No,1402.99,8,No,7 3 2 8 5 4 1 9 ,6
127,0.01,1219620.05,0.15,1224653.39,1,Yes,1981.05,2,Yes,7 2 ,2
128,0.01,1227136.73,0.16,1232170.07,1,No,1672.45,8,No,7 1 9 5 4 3 2 8 ,6
129,0.01,1234353.41,0.16,1239386.75,1,No,983.83,6,No,1 6 3 7 9 2 ,4
130,0.02,1240886.75,0.16,1245920.1,1,No,810.5,2,No,2 3 ,1
131,0.01,1247236.76,0.25,1252270.11,1,Yes,1868.53,4,Yes,3 5 6 2 ,6
132,0.02,1254653.45,0.24,1259686.79,1,Yes,1187.9,4,Yes,6 2 5 8 ,6
133,0.01,1261386.79,0.16,1266420.13,1,No,1334.63,6,No,3 1 7 2 6 9 ,5
134,0.01,1268270.14,0.24,1273303.48,1,No,723.29,8,No,9 2 7 1 4 5 3 8 ,6
135,0.01,1274536.82,0.16,1279570.16,1,No,960.65,4,No,8 7 1 3 ,6
136,0.01,1281036.83,0.25,1286070.17,1,Yes,1452.66,2,Yes,9 3 ,3
137,0.01,1288036.85,0.25,1293070.19,1,Yes,724.73,6,Yes,1 6 9 8 5 2 ,8
138,0.01,1294303.52,0.16,1299336.87,1,No,2042.04,4,No,1 7 4 2 ,8
139,0.01,1301886.87,0.15,1306920.21,1,No,978.78,6,No,5 3 8 9 6 7 ,1
140,0.01,1308403.56,0.19,1313436.89,1,No,1126.15,2,No,9 5 ,4
141,0.01,1315070.23,0.15,1320103.57,1,Yes,1139.49,8,Yes,6 2 4 3 1 7 8 9 ,7
142,0.01,1321753.58,0.16,1326786.92,1,Yes,1120.16,4,Yes,9 8 6 7 ,8
143,0.01,1328420.25,0.24,1333453.6,1,Yes,685.53,2,Yes,3 6 ,3
144,0.01,1334653.6,0.25,1339686.94,1,Yes,804.27,8,Yes,5 2 8 7 3 4 9 1 ,2
145,0.01,1341003.61,0.16,1346036.96,0,No,2374.29,8,Yes,5 7 4 9 1 8 6 3 ,9
146,0.01,1348920.29,0.16,1353953.64,1,Yes,969.6,2,Yes,5 7 ,5
147,0.03,1355436.97,0.16,1360470.31,1,No,2316.98,6,No,7 9 8 3 2 4 ,6
148,0.05,1363303.65,0.16,1368337,1,No,834.35,6,No,3 4 9 6 8 2 ,1
149,0.01,1369687,0.25,1374720.34,1,No,955.05,6,No,4 9 6 8 3 1 ,5
150,0.01,1376187.01,0.16,1381220.35,1,Yes,1423.05,4,Yes,1 4 5 3 ,3
