SubjectName Mt,SessionNumber 2,ExperimentName sternbergComp,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Trial,NSPrac-OnsetError,NSPrac-OnsetTime,ProbePrac-OnsetError,ProbePrac-OnsetTime,ProbePrac-Mouse-IsCorrect,ProbePrac-Mouse-Responses,ProbePrac-Mouse-ResponseTime,TrialTable-Condition,TrialTable-CorrectResponse,TrialTable-NumberSets,TrialTable-Probes
82,0.02,825779.15,0.17,830812.49,1,No,577.43,8,No,6 9 7 5 8 2 1 3 ,4
83,0.01,831895.83,0.16,836929.17,0,Yes,1278.91,8,No,5 6 2 1 7 3 9 4 ,8
84,0.01,838712.51,0.17,843745.85,1,Yes,1756.14,6,Yes,9 7 1 8 5 4 ,1
85,0.01,846012.52,0.15,851045.87,1,No,1640.13,4,No,1 7 2 5 ,4
86,0.01,853195.87,0.16,858229.21,1,Yes,1032.87,2,Yes,7 8 ,8
87,0.01,859762.55,0.16,864795.89,1,No,1298.23,4,No,5 2 7 1 ,8
88,0.01,866595.89,0.17,871629.24,1,Yes,912.92,2,Yes,1 7 ,1
89,0.01,873045.91,0.22,878079.25,1,No,1862.93,4,No,6 7 1 5 ,2
90,0.01,880445.92,0.16,885479.26,1,Yes,1278.95,4,Yes,9 6 1 2 ,9
91,0.01,887262.6,0.16,892295.94,1,Yes,1014.33,8,Yes,7 1 6 9 3 4 8 5 ,3
92,0.02,893812.61,0.17,898845.95,0,Yes,688.39,6,No,7 6 8 2 9 5 ,3
93,0.01,900045.96,0.16,905079.3,1,No,2127.03,2,No,8 1 ,2
94,0.02,907712.64,0.16,912745.98,1,No,1076.42,8,No,7 5 8 6 2 4 3 1 ,9
95,0.02,914329.32,0.16,919362.66,0,No,3139.77,6,Yes,8 1 9 6 4 3 ,4
96,0.02,923012.67,0.24,928046.01,1,No,1352.45,4,No,5 8 3 1 ,2
97,0.01,929912.68,0.16,934946.02,1,Yes,812.49,2,Yes,4 2 ,2
98,0.01,936262.7,0.17,941296.04,1,No,1430.51,8,No,9 2 7 1 4 5 3 8 ,6
99,0.01,943229.37,0.26,948262.72,1,No,1095.89,6,No,4 1 8 6 9 3 ,7
100,0.01,949862.72,0.17,954896.06,1,No,2566.58,4,No,8 7 1 3 ,6
101,0.01,957979.4,0.16,963012.75,1,No,1211.26,2,No,8 2 ,5
102,0.01,964729.42,0.16,969762.76,1,Yes,1027.92,6,Yes,5 1 2 4 8 9 ,4
103,0.04,971296.09,0.16,976329.44,1,Yes,1237.33,6,Yes,6 8 1 9 4 3 ,9
104,0.01,978079.44,0.16,983112.79,0,No,1022.05,2,Yes,2 5 ,5
105,0.01,984646.12,0.15,989679.46,1,Yes,2103.38,6,Yes,6 8 5 3 2 9 ,8
106,0.01,992296.14,0.17,997329.48,1,No,1037.43,2,No,2 7 ,8
107,0.01,998879.48,0.16,1003912.82,1,No,1278.12,2,No,3 2 ,5
108,0.01,1005696.16,0.16,1010729.5,1,No,2077.5,6,No,3 1 5 4 2 6 ,7
109,0.02,1013312.84,0.15,1018346.18,1,Yes,868.87,2,Yes,2 3 ,3
